case_id,claim_id,vin,agent_status,root_cause_hypothesis,confidence_score,missing_evidence,recommended_next_action,evidence_packet_status,created_at
CASE0001,C0016,3AKUAL4YUKPYGF1GZ,Evidence Packet Ready,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos; Previous repair comparison,Create engineering observation and request full diagnostic evidence,Sent to Supplier,2026-01-15
CASE0002,C0018,W1Y4HRKUKEDLWV5H6,Draft Recommendation,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,In Progress,2025-09-04
CASE0003,C0019,1HTP6T0LHLWGBW12N,Escalated,Likely EGR valve sticking or EGR flow restriction. Cooler and harness evidence should be verified.,0.97,Failed part photos; Previous repair comparison; Technician test result,Create engineering observation and request full diagnostic evidence,Sent to Supplier,2025-12-06
CASE0004,C0030,1HTHCZ40E9YA38G40,Escalated,Likely EGR valve sticking or EGR flow restriction. Cooler and harness evidence should be verified.,0.97,Failed part photos; Previous repair comparison,Create engineering observation and request full diagnostic evidence,Sent to Supplier,2026-04-20
CASE0005,C0054,3AK07Z4YZ6UWTRHNX,Draft Recommendation,Likely wheel seal leak. Installation and axle vent checks are required.,0.97,Diagnostic scan report; Failed part photos; Previous repair comparison; Technician test result,Create engineering observation and request full diagnostic evidence,Not Started,2025-12-13
CASE0006,C0062,1HTWFSH3R155W4WDG,Draft Recommendation,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos; Previous repair comparison,Create engineering observation and request full diagnostic evidence,In Progress,2026-03-27
CASE0007,C0079,3AKTYUUANFS38S785,Human Review Required,Likely wheel seal leak. Installation and axle vent checks are required.,0.97,Diagnostic scan report; Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,Ready,2026-02-23
CASE0008,C0059,3AKUAL4YUKPYGF1GZ,Escalated,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2025-10-18
CASE0009,C0003,1HTWRRBN2YUEUZ92Y,Escalated,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,In Progress,2026-01-01
CASE0010,C0033,1HTWFSH3R155W4WDG,Escalated,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.96,Failed part photos,Prepare evidence packet for supplier recovery review,In Progress,2025-03-29
CASE0011,C0009,1HTWRRBN2YUEUZ92Y,Draft Recommendation,Likely underboost caused by actuator issue or air path leak. Charge air system evidence required.,0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,In Progress,2026-04-13
CASE0012,C0044,1HTWRRBN2YUEUZ92Y,Escalated,Likely underboost caused by actuator issue or air path leak. Charge air system evidence required.,0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,Sent to Supplier,2026-04-10
CASE0013,C0001,1HTHCZ40E9YA38G40,Evidence Packet Ready,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2026-01-11
