fault_event_id,repair_order_id,vin,dtc_code,dtc_description,system,severity,first_detected_date,last_detected_date,occurrence_count,freeze_frame_notes
FE00001,RO00001,1HTHCZ40E9YA38G40,P2201,NOx Sensor Circuit Range Performance Bank 1,Aftertreatment,Critical,2025-12-30,2026-01-10,8,High engine load during event
FE00002,RO00002,1HTXTPXST2JW6XEA6,P20E8,Reductant Pressure Too Low,Aftertreatment,Critical,2026-03-11,2026-03-13,3,No freeze frame available
FE00003,RO00003,1HTWRRBN2YUEUZ92Y,P242F,Diesel Particulate Filter Restriction Ash Accumulation,Aftertreatment,Critical,2025-12-25,2025-12-31,9,Intermittent fault
FE00004,RO00004,1NKUSRJGF4CBFPR9B,P2463,Diesel Particulate Filter Soot Accumulation,Aftertreatment,Medium,2025-12-06,2025-12-18,4,Fault occurred during regeneration
FE00005,RO00005,3AK5EVSUYXFJKR1KP,P20EE,SCR NOx Catalyst Efficiency Below Threshold,Aftertreatment,Low,2026-04-18,2026-04-27,8,High engine load during event
FE00006,RO00006,4VG73NGG4Z436DGD2,P242F,Diesel Particulate Filter Restriction Ash Accumulation,Aftertreatment,High,2026-02-18,2026-03-01,8,Fault occurred during regeneration
FE00007,RO00007,1NKH1FV0NECRVFRG1,P0401,Exhaust Gas Recirculation Flow Insufficient,Engine and Emission,High,2026-01-06,2026-01-19,1,Intermittent fault
FE00008,RO00008,1HTS7E63N182SKAG4,P20EE,SCR NOx Catalyst Efficiency Below Threshold,Aftertreatment,Critical,2026-03-01,2026-03-06,1,No freeze frame available
FE00009,RO00009,1HTWRRBN2YUEUZ92Y,P0046,Turbocharger Boost Control Circuit Range,Engine and Air Management,Low,2026-04-08,2026-04-12,7,Fault occurred during regeneration
FE00010,RO00010,1HTS7E63N182SKAG4,P2201,NOx Sensor Circuit Range Performance Bank 1,Aftertreatment,High,2025-05-13,2025-05-26,4,Fault occurred during regeneration
FE00011,RO00011,1HTS7E63N182SKAG4,P2463,Diesel Particulate Filter Soot Accumulation,Aftertreatment,Low,2026-02-06,2026-02-11,6,No freeze frame available
FE00012,RO00012,1HTL1A1T6V48KNVPD,P0046,Turbocharger Boost Control Circuit Range,Engine and Air Management,Critical,2025-03-29,2025-04-12,9,Intermittent fault
FE00013,RO00013,W1YL4E116TAHUYHV4,P0401,Exhaust Gas Recirculation Flow Insufficient,Engine and Emission,Medium,2025-12-24,2026-01-04,2,No freeze frame available
