claim_id,repair_order_id,vin,dealer_id,claim_date,mileage_at_claim,months_in_service,part_number,part_name,system,claim_amount_usd,labor_hours,dtc_primary,claim_status,complaint,cause,correction,repeat_repair_flag,policy_eligible,risk_score,severity_index,recommended_action,escalation_team
C0001,RO00001,1HTHCZ40E9YA38G40,D002,2026-01-10,52105,13,NOX-3301,NOx Sensor Upstream,Aftertreatment,886.0,1.4,P2201,Supplier Recovery Review,Emission warning light on,Wiring and connector condition not fully documented,Replaced sensor after signal test,N,Y,90,0.53,Prepare evidence packet for supplier recovery review,Supplier Quality
C0002,RO00002,1HTXTPXST2JW6XEA6,D005,2026-03-13,31204,36,DEF-4401,DEF Doser Valve,Aftertreatment,1088.0,1.2,P20E8,Approved,DEF system warning and derate,Reductant pressure low and dosing command not met,Replaced doser and flushed crystallized deposit,N,Y,40,0.29,Ask dealer for photos and diagnostic test result,Supplier Quality
C0003,RO00003,1HTWRRBN2YUEUZ92Y,D009,2025-12-31,58810,37,DPF-5501,DPF Assembly,Aftertreatment,3449.0,4.8,P242F,Supplier Recovery Review,DPF restriction warning,High soot loading and regeneration incomplete,Cleaned DPF and reset ash counter,N,N,95,0.77,Prepare evidence packet for supplier recovery review,Supplier Quality
C0004,RO00004,1NKUSRJGF4CBFPR9B,D005,2025-12-18,154853,13,DPF-5501,DPF Assembly,Aftertreatment,3575.0,5.0,P2463,Hold - Missing Evidence,High exhaust back pressure,DPF restriction verified by pressure reading,Cleaned DPF and reset ash counter,N,N,56,0.59,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0005,RO00005,3AK5EVSUYXFJKR1KP,D004,2026-04-27,91408,26,NOX-3302,NOx Sensor Downstream,Aftertreatment,890.0,2.1,P20EE,Pending Dealer Response,Recurring NOx related lamp,Downstream NOx sensor signal out of range,Replaced sensor with updated part,N,Y,74,0.45,Ask dealer for photos and diagnostic test result,Service Engineering
C0006,RO00006,4VG73NGG4Z436DGD2,D007,2026-03-01,27615,40,DPF-5501,DPF Assembly,Aftertreatment,3460.0,5.4,P242F,Supplier Recovery Review,DPF restriction warning,DPF restriction verified by pressure reading,Cleaned DPF and reset ash counter,N,N,80,0.7,Prepare evidence packet for supplier recovery review,Supplier Quality
C0007,RO00007,1NKH1FV0NECRVFRG1,D010,2026-01-19,83334,37,EGR-1001,EGR Valve,Engine and Emission,1279.5,2.3,P0401,Hold - Missing Evidence,Poor acceleration with emission related lamp,Possible EGR cooler restriction not fully verified,Replaced EGR valve and performed regeneration test,N,N,57,0.39,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0008,RO00008,1HTS7E63N182SKAG4,D006,2026-03-06,72014,10,NOX-3302,NOx Sensor Downstream,Aftertreatment,787.0,1.1,P20EE,Hold - Missing Evidence,Check engine light after highway operation,SCR efficiency investigation incomplete,Replaced sensor with updated part,N,Y,46,0.3,Request missing technician notes,Supplier Quality
C0009,RO00009,1HTWRRBN2YUEUZ92Y,D009,2026-04-12,58810,40,TRB-2201,Turbocharger Assembly,Engine and Air Management,2840.5,5.2,P0046,Supplier Recovery Review,Check engine light with underboost fault,Boost pressure leak and turbo actuator fault found,Replaced turbo and verified boost pressure,N,N,91,0.7,Prepare evidence packet for supplier recovery review,Supplier Quality
C0010,RO00010,1HTS7E63N182SKAG4,D010,2025-05-26,85392,1,NOX-3301,NOx Sensor Upstream,Aftertreatment,1017.0,1.9,P2201,Supplier Recovery Review,SCR efficiency fault active,NOx sensor slow response observed,Replaced sensor after signal test,N,Y,83,0.5,Prepare evidence packet for supplier recovery review,Supplier Quality
C0011,RO00011,1HTS7E63N182SKAG4,D004,2026-02-11,73700,9,DPF-5501,DPF Assembly,Aftertreatment,3717.0,5.6,P2463,Pending Dealer Response,DPF restriction warning,High soot loading and regeneration incomplete,Cleaned DPF and reset ash counter,N,Y,42,0.53,Request missing technician notes,Supplier Quality
C0012,RO00012,1HTL1A1T6V48KNVPD,D004,2025-04-12,27979,25,TRB-2201,Turbocharger Assembly,Engine and Air Management,2826.5,4.7,P0046,Escalated - Engineering,Check engine light with underboost fault,Boost pressure leak and turbo actuator fault found,Replaced turbocharger assembly and calibrated actuator,N,Y,46,0.47,Route to service engineering,Service Engineering
C0013,RO00013,W1YL4E116TAHUYHV4,D007,2026-01-04,81045,14,EGR-1001,EGR Valve,Engine and Emission,1401.5,2.0,P0401,Rejected,Engine derate during grade climb,EGR valve sticking due to carbon deposit,"Replaced valve, advised to inspect cooler if repeat occurs",N,Y,58,0.41,Route to service engineering,Supplier Quality
C0014,RO00014,4VGG4ZX49H1NTC4AN,D007,2026-03-09,19887,27,EGR-1001,EGR Valve,Engine and Emission,1309.5,2.2,P0401,Approved,Low power and check engine light on,EGR valve did not pass actuator response test,Replaced EGR valve and cleared fault codes,N,Y,39,0.31,Ask dealer for photos and diagnostic test result,Supplier Quality
C0015,RO00015,1HT48F7Z3YXGLY38V,D007,2026-05-03,21619,22,NOX-3301,NOx Sensor Upstream,Aftertreatment,800.0,1.3,P2201,Approved,Vehicle derate due to aftertreatment fault,Sensor signal unstable during diagnostic test,Replaced upstream NOx sensor and performed road test,N,Y,71,0.42,Approve with observation,Supplier Quality
C0016,RO00016,3AKUAL4YUKPYGF1GZ,D001,2026-01-15,23390,21,NOX-3301,NOx Sensor Upstream,Aftertreatment,1231.65,1.9,P20EE,Escalated - Engineering,Emission warning light on,Wiring and connector condition not fully documented,Replaced upstream NOx sensor and performed road test,Y,Y,99,0.8,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0017,RO00017,1NKAV775YMDT7HE28,D005,2026-03-24,14758,42,TRB-2201,Turbocharger Assembly,Engine and Air Management,3229.77,4.2,P0299,Escalated - Engineering,Low boost pressure and loss of power,Turbo actuator response below specification,Replaced turbo and verified boost pressure,Y,N,88,0.92,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0018,RO00018,W1Y4HRKUKEDLWV5H6,D002,2025-09-04,66077,42,NOX-3302,NOx Sensor Downstream,Aftertreatment,1032.0,2.1,P229F,Supplier Recovery Review,Check engine light after highway operation,Sensor performance below expected threshold,Replaced sensor with updated part,N,N,99,0.58,Prepare evidence packet for supplier recovery review,Supplier Quality
C0019,RO00019,1HTP6T0LHLWGBW12N,D002,2025-12-06,46884,38,EGR-1001,EGR Valve,Engine and Emission,1582.97,3.0,P0401,Escalated - Engineering,Poor acceleration with emission related lamp,EGR valve did not pass actuator response test,Replaced EGR valve and cleared fault codes,Y,N,99,0.83,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0020,RO00020,1HTXTPXST2JW6XEA6,D007,2026-01-23,31204,34,NOX-3302,NOx Sensor Downstream,Aftertreatment,899.0,1.4,P20EE,Supplier Recovery Review,SCR conversion efficiency fault,Downstream NOx sensor signal out of range,Replaced sensor and completed aftertreatment test,N,Y,78,0.47,Prepare evidence packet for supplier recovery review,Supplier Quality
C0021,RO00021,W1YL4E116TAHUYHV4,D007,2025-05-03,81045,5,EGR-1001,EGR Valve,Engine and Emission,1357.5,2.8,P0401,Pending Dealer Response,Engine derate during grade climb,Possible EGR cooler restriction not fully verified,Replaced EGR valve and cleared fault codes,N,Y,67,0.45,Request missing technician notes,Service Engineering
C0022,RO00022,4VG73NGG4Z436DGD2,D008,2026-03-25,77183,41,TRB-2201,Turbocharger Assembly,Engine and Air Management,3077.5,5.2,P2563,Supplier Recovery Review,Check engine light with underboost fault,Turbo actuator response below specification,Replaced turbo and verified boost pressure,N,N,80,0.66,Prepare evidence packet for supplier recovery review,Supplier Quality
C0023,RO00023,1HTX655P97LFV9YFS,D006,2026-02-16,45552,36,EGR-1001,EGR Valve,Engine and Emission,1092.5,2.2,P2457,Pending Dealer Response,Poor acceleration with emission related lamp,Possible EGR cooler restriction not fully verified,Replaced EGR valve and performed regeneration test,N,Y,43,0.31,Request missing technician notes,Warranty Analyst
C0024,RO00024,1HT85FC4XTBFRBUCM,D002,2026-03-01,49264,41,EGR-1001,EGR Valve,Engine and Emission,1263.27,2.3,P2457,Escalated - Engineering,Engine derate during grade climb,Possible EGR cooler restriction not fully verified,Replaced EGR valve and cleared fault codes,Y,N,81,0.71,Create engineering observation and request full diagnostic evidence,Warranty Engineering
C0025,RO00025,1HTWRRBN2YUEUZ92Y,D010,2025-08-23,58810,33,NOX-3302,NOx Sensor Downstream,Aftertreatment,1001.0,1.2,P229F,Approved,Recurring NOx related lamp,Downstream NOx sensor signal out of range,Replaced sensor and completed aftertreatment test,N,Y,40,0.29,Ask dealer for photos and diagnostic test result,Service Engineering
C0026,RO00026,4VGTJZES0VL5WAWGJ,D009,2025-06-11,100842,13,DEF-4401,DEF Doser Valve,Aftertreatment,1219.0,2.4,P204F,Hold - Missing Evidence,Reductant pressure fault,DEF doser crystallization observed,Replaced DEF doser and performed dosing test,N,N,42,0.31,Verify warranty policy exception and request dealer justification,Warranty Analyst
C0027,RO00027,3AKUAL4YUKPYGF1GZ,D006,2025-04-04,23390,11,TRB-2201,Turbocharger Assembly,Engine and Air Management,2732.5,4.9,P2563,Supplier Recovery Review,Low boost pressure and loss of power,Turbo actuator response below specification,Replaced turbo and verified boost pressure,N,Y,80,0.63,Prepare evidence packet for supplier recovery review,Supplier Quality
C0028,RO00028,1HTP826KTJST420RJ,D009,2026-03-22,24351,47,DPF-5501,DPF Assembly,Aftertreatment,3722.0,5.7,P2463,Supplier Recovery Review,High exhaust back pressure,DPF restriction verified by pressure reading,Replaced DPF assembly after pressure test,N,N,81,0.72,Prepare evidence packet for supplier recovery review,Supplier Quality
C0029,RO00029,1HTL1A1T6V48KNVPD,D008,2025-04-28,27979,25,NOX-3302,NOx Sensor Downstream,Aftertreatment,984.0,1.4,P20EE,Pending Dealer Response,Check engine light after highway operation,Downstream NOx sensor signal out of range,Replaced sensor and completed aftertreatment test,N,Y,74,0.45,Approve with observation,Warranty Analyst
C0030,RO00030,1HTHCZ40E9YA38G40,D008,2026-04-20,52105,16,EGR-1001,EGR Valve,Engine and Emission,1269.02,2.4,P0402,Escalated - Engineering,Engine derate during grade climb,EGR valve did not pass actuator response test,"Replaced valve, advised to inspect cooler if repeat occurs",Y,Y,99,0.8,Create engineering observation and request full diagnostic evidence,Warranty Engineering
