repair_order_id,vin,dealer_id,visit_date,odometer,customer_complaint,technician_notes,diagnosis,part_replaced,labor_hours,repair_cost_usd,repair_outcome
RO00001,1HTHCZ40E9YA38G40,D002,2026-01-10,52105,Emission warning light on,Technician observed P2201. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.1,886.0,Customer Returned
RO00002,1HTXTPXST2JW6XEA6,D005,2026-03-10,31204,DEF system warning and derate,Technician observed P20E8. Reductant pressure low and dosing command not met. Performed basic diagnostic checks.,Reductant pressure low and dosing command not met,DEF Doser Valve,1.4,1088.0,Fixed First Visit
RO00003,1HTWRRBN2YUEUZ92Y,D009,2025-12-30,58810,DPF restriction warning,Technician observed P242F. High soot loading and regeneration incomplete. Performed basic diagnostic checks.,High soot loading and regeneration incomplete,DPF Assembly,5.8,3449.0,Customer Returned
RO00004,1NKUSRJGF4CBFPR9B,D005,2025-12-15,154853,High exhaust back pressure,Technician observed P2463. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,5.3,3575.0,Customer Returned
RO00005,3AK5EVSUYXFJKR1KP,D004,2026-04-25,91408,Recurring NOx related lamp,Technician observed P20EE. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,2.0,890.0,Pending Verification
RO00006,4VG73NGG4Z436DGD2,D007,2026-02-27,27615,DPF restriction warning,Technician observed P242F. DPF restriction verified by pressure reading. Performed basic diagnostic checks.,DPF restriction verified by pressure reading,DPF Assembly,5.8,3460.0,Pending Verification
RO00007,1NKH1FV0NECRVFRG1,D010,2026-01-17,83334,Poor acceleration with emission related lamp,Technician observed P0401. Possible EGR cooler restriction not fully verified. Performed basic diagnostic checks.,Possible EGR cooler restriction not fully verified,EGR Valve,3.0,1279.5,Fixed First Visit
RO00008,1HTS7E63N182SKAG4,D006,2026-03-05,72014,Check engine light after highway operation,Technician observed P20EE. SCR efficiency investigation incomplete. Performed basic diagnostic checks.,SCR efficiency investigation incomplete,NOx Sensor Downstream,1.2,787.0,Customer Returned
RO00009,1HTWRRBN2YUEUZ92Y,D009,2026-04-11,58810,Check engine light with underboost fault,Technician observed P0046. Boost pressure leak and turbo actuator fault found. Performed basic diagnostic checks.,Boost pressure leak and turbo actuator fault found,Turbocharger Assembly,5.5,2840.5,Pending Verification
RO00010,1HTS7E63N182SKAG4,D010,2025-05-26,85392,SCR efficiency fault active,Technician observed P2201. NOx sensor slow response observed. Performed basic diagnostic checks.,NOx sensor slow response observed,NOx Sensor Upstream,2.1,1017.0,Pending Verification
RO00011,1HTS7E63N182SKAG4,D004,2026-02-11,73700,DPF restriction warning,Technician observed P2463. High soot loading and regeneration incomplete. Performed basic diagnostic checks.,High soot loading and regeneration incomplete,DPF Assembly,5.5,3717.0,Repeat Visit Risk
RO00012,1HTL1A1T6V48KNVPD,D004,2025-04-12,27979,Check engine light with underboost fault,Technician observed P0046. Boost pressure leak and turbo actuator fault found. Performed basic diagnostic checks.,Boost pressure leak and turbo actuator fault found,Turbocharger Assembly,4.4,2826.5,Repeat Visit Risk
RO00013,W1YL4E116TAHUYHV4,D007,2026-01-04,81045,Engine derate during grade climb,Technician observed P0401. EGR valve sticking due to carbon deposit. Performed basic diagnostic checks.,EGR valve sticking due to carbon deposit,EGR Valve,2.6,1401.5,Customer Returned
RO00014,4VGG4ZX49H1NTC4AN,D007,2026-03-06,19887,Low power and check engine light on,Technician observed P0401. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,2.6,1309.5,Repeat Visit Risk
RO00015,1HT48F7Z3YXGLY38V,D007,2026-05-02,21619,Vehicle derate due to aftertreatment fault,Technician observed P2201. Sensor signal unstable during diagnostic test. Performed basic diagnostic checks.,Sensor signal unstable during diagnostic test,NOx Sensor Upstream,2.2,800.0,Pending Verification
RO00016,3AKUAL4YUKPYGF1GZ,D001,2026-01-14,23390,Emission warning light on,Technician observed P20EE. Wiring and connector condition not fully documented. Performed basic diagnostic checks.,Wiring and connector condition not fully documented,NOx Sensor Upstream,1.3,1231.65,Repeat Visit Risk
RO00017,1NKAV775YMDT7HE28,D005,2026-03-21,14758,Low boost pressure and loss of power,Technician observed P0299. Turbo actuator response below specification. Performed basic diagnostic checks.,Turbo actuator response below specification,Turbocharger Assembly,4.9,3229.77,Fixed First Visit
RO00018,W1Y4HRKUKEDLWV5H6,D002,2025-09-04,66077,Check engine light after highway operation,Technician observed P229F. Sensor performance below expected threshold. Performed basic diagnostic checks.,Sensor performance below expected threshold,NOx Sensor Downstream,2.2,1032.0,Pending Verification
RO00019,1HTP6T0LHLWGBW12N,D002,2025-12-04,46884,Poor acceleration with emission related lamp,Technician observed P0401. EGR valve did not pass actuator response test. Performed basic diagnostic checks.,EGR valve did not pass actuator response test,EGR Valve,2.4,1582.97,Pending Verification
RO00020,1HTXTPXST2JW6XEA6,D007,2026-01-21,31204,SCR conversion efficiency fault,Technician observed P20EE. Downstream NOx sensor signal out of range. Performed basic diagnostic checks.,Downstream NOx sensor signal out of range,NOx Sensor Downstream,1.4,899.0,Repeat Visit Risk
